id,Name,Area,Perimeter,MaxDist,Stream,Section,FlowLength,Sinu,W_avg_A,DeltaH,W_avg_measured,Depth_avg,AR_measured,pointcount,Grad_straight,Grad_flow,AR_A,v_Qmax,f_Qmax,Q_max_meas,Q_mean_sd,Q_max_sd
1.0,01InjCTD,216.0 ± 22.0,270.0 ± 5.4,124.0 ± 0.5,1,0,134.0 ± 2.7,1.08 ± 0.022,1.61 ± 0.17,3.1 ± 0.021,1.67 ± 0.017,0.332 ± 0.0039,5.17 ± 0.084,9,0.0251 ± 0.0002,0.0232 ± 0.00049,4.85 ± 0.5,1.52 ± 0.047,0.153 ± 0.02,0.69 ± 0.048,0.312 ± 0.014,0.991 ± 0.054
1.1,01InjWTW,92.3 ± 9.4,132.0 ± 2.7,63.7 ± 0.5,1,1,65.2 ± 1.4,1.02 ± 0.023,1.42 ± 0.15,1.3 ± 0.023,1.46 ± 0.022,0.35 ± 0.0053,4.24 ± 0.094,5,0.0204 ± 0.0004,0.02 ± 0.00056,4.06 ± 0.43,2.57 ± 2.2,0.0585 ± 0.057,0.61 ± 0.061,0.278 ± 0.017,0.875 ± 0.067
1.2,01WTWCTD,125.0 ± 12.0,141.0 ± 2.9,63.2 ± 0.5,1,2,69.3 ± 1.4,1.1 ± 0.024,1.8 ± 0.18,1.8 ± 0.022,1.94 ± 0.025,0.311 ± 0.0057,6.33 ± 0.15,4,0.0285 ± 0.00042,0.026 ± 0.00062,5.8 ± 0.59,1.24 ± 0.26,0.398 ± 0.22,0.77 ± 0.077,0.346 ± 0.022,1.11 ± 0.086
2.0,02InjCTD,306.0 ± 30.0,650.0 ± 13.0,289.0 ± 0.5,2,0,324.0 ± 6.4,1.12 ± 0.022,0.944 ± 0.094,4.38 ± 0.024,0.985 ± 0.019,0.234 ± 0.0044,4.31 ± 0.12,7,0.0151 ± 8.7e-5,0.0135 ± 0.00028,4.04 ± 0.41,0.883 ± 0.018,0.192 ± 0.021,0.18 ± 0.013,NaN ± NaN,NaN ± NaN
2.1,02InjWTW,192.0 ± 20.0,451.0 ± 9.0,207.0 ± 0.5,2,1,225.0 ± 4.5,1.08 ± 0.022,0.854 ± 0.089,1.8 ± 0.018,0.967 ± 0.028,0.228 ± 0.0067,4.45 ± 0.2,3,0.00872 ± 8.9e-5,0.00804 ± 0.00018,3.75 ± 0.41,1.41 ± 0.093,0.0229 ± 0.0052,0.14 ± 0.014,NaN ± NaN,NaN ± NaN
2.2,02WTWCTD,113.0 ± 11.0,200.0 ± 4.0,83.5 ± 0.5,2,2,99.2 ± 2.0,1.19 ± 0.025,1.14 ± 0.11,2.57 ± 0.021,0.999 ± 0.026,0.238 ± 0.0058,4.21 ± 0.15,4,0.0308 ± 0.00032,0.0259 ± 0.00057,4.81 ± 0.49,0.481 ± 0.026,2.79 ± 0.56,0.22 ± 0.022,0.0899 ± 0.0062,0.327 ± 0.031
3.0,03InjCTD,129.0 ± 13.0,255.0 ± 5.1,120.0 ± 0.5,3,0,127.0 ± 2.6,1.05 ± 0.022,1.02 ± 0.1,4.01 ± 0.028,0.906 ± 0.018,0.271 ± 0.004,3.36 ± 0.081,8,0.0334 ± 0.00027,0.0317 ± 0.00069,3.76 ± 0.39,1.28 ± 0.036,0.215 ± 0.026,0.26 ± 0.018,NaN ± NaN,NaN ± NaN
3.1,03InjWTW,57.7 ± 5.9,115.0 ± 2.3,52.7 ± 0.5,3,1,56.3 ± 1.2,1.07 ± 0.024,1.03 ± 0.11,2.07 ± 0.026,0.875 ± 0.025,0.268 ± 0.0057,3.27 ± 0.12,4,0.0393 ± 0.00062,0.0368 ± 0.00088,3.82 ± 0.4,1.54 ± 0.57,0.2 ± 0.15,0.23 ± 0.023,NaN ± NaN,NaN ± NaN
3.2,03WTWCTD,71.3 ± 7.2,143.0 ± 2.9,67.6 ± 0.5,3,2,70.5 ± 1.5,1.04 ± 0.023,1.01 ± 0.1,1.94 ± 0.021,0.937 ± 0.025,0.273 ± 0.0057,3.44 ± 0.12,4,0.0288 ± 0.00038,0.0276 ± 0.00065,3.7 ± 0.38,1.23 ± 0.24,0.275 ± 0.15,0.29 ± 0.029,NaN ± NaN,NaN ± NaN
4.0,04InjCTD,141.0 ± 14.0,244.0 ± 4.9,98.4 ± 0.5,4,0,121.0 ± 2.4,1.23 ± 0.026,1.16 ± 0.12,3.58 ± 0.02,1.22 ± 0.02,0.204 ± 0.0047,6.1 ± 0.18,6,0.0363 ± 0.00027,0.0295 ± 0.00062,5.69 ± 0.6,1.0 ± 0.027,0.336 ± 0.041,0.235 ± 0.017,0.139 ± 0.0066,0.316 ± 0.017
4.1,04InjWTW,34.3 ± 3.5,58.6 ± 1.2,24.6 ± 0.5,4,1,28.3 ± 0.6,1.15 ± 0.034,1.21 ± 0.13,1.2 ± 0.025,1.35 ± 0.036,0.185 ± 0.0082,7.34 ± 0.38,2,0.0487 ± 0.0014,0.0422 ± 0.0013,6.57 ± 0.75,1.64 ± 28.0,0.247 ± 0.32,0.22 ± 0.022,0.125 ± 0.0086,0.281 ± 0.021
4.2,04WTWCTD,106.0 ± 10.0,188.0 ± 3.8,75.0 ± 0.5,4,2,92.8 ± 1.9,1.24 ± 0.026,1.15 ± 0.12,2.38 ± 0.025,1.15 ± 0.025,0.214 ± 0.0058,5.48 ± 0.2,4,0.0317 ± 0.00041,0.0256 ± 0.00059,5.35 ± 0.56,0.925 ± 0.097,0.43 ± 0.14,0.25 ± 0.025,0.153 ± 0.01,0.352 ± 0.026
5.0,1upperInjCTD,75.8 ± 7.7,170.0 ± 3.5,76.3 ± 0.5,5,0,84.2 ± 1.7,1.1 ± 0.024,0.901 ± 0.094,3.75 ± 0.022,0.725 ± 0.02,0.295 ± 0.0047,2.49 ± 0.085,6,0.0491 ± 0.00042,0.0445 ± 0.00095,3.06 ± 0.32,1.28 ± 0.048,0.38 ± 0.056,0.295 ± 0.021,NaN ± NaN,NaN ± NaN
5.1,1upperInjWTW,56.0 ± 5.5,117.0 ± 2.3,52.2 ± 0.5,5,1,57.3 ± 1.2,1.1 ± 0.025,0.979 ± 0.097,2.44 ± 0.026,0.737 ± 0.025,0.316 ± 0.0058,2.34 ± 0.096,4,0.0468 ± 0.00066,0.0426 ± 0.00097,3.1 ± 0.31,1.87 ± 1.1,0.172 ± 0.14,0.25 ± 0.025,NaN ± NaN,NaN ± NaN
5.2,1upperWTWCTD,19.9 ± 1.9,56.2 ± 1.1,26.8 ± 0.5,5,2,27.1 ± 0.55,1.01 ± 0.027,0.733 ± 0.074,1.31 ± 0.023,0.702 ± 0.035,0.253 ± 0.0081,2.78 ± 0.16,2,0.0488 ± 0.0013,0.0483 ± 0.0013,2.9 ± 0.31,1.01 ± 2.6,2.17 ± 2.0,0.34 ± 0.034,NaN ± NaN,NaN ± NaN
